age,income,credit_score,loan_amount,employment_years,region,product_type,missing_feature,duplicate_prone,id_col,target,post_event_score
27,58540.536301131404,676,32930.41963862428,2.247128331261733,north,A,10.434546316457247,1,23,1,0.9511105340305414
39,63064.28775877226,633,42454.79302924751,6.222492780235072,south,A,13.150165655217462,2,24,1,0.9294903818075391
33,61375.313503166035,850,43010.7551348925,1.5494989403549653,north,A,,5,25,0,0.01898983475678028
29,44684.03083709212,635,33396.587328782145,14.202875714529977,north,B,,4,26,0,0.041197462359535864
37,69187.47354447989,622,29226.262232762965,17.27984208054373,west,A,8.879101062393849,1,27,0,0.05254291984576995
65,50007.12479549784,607,46130.3721055333,0.7602535120363478,west,A,10.062094400977108,1,28,0,0.043764223233488705
65,51921.59187403159,552,41056.886113354274,13.367328442658273,north,B,9.495874369193288,4,29,0,0.0
34,26932.49822334285,718,44709.124773541014,4.234559279706158,south,A,,5,30,0,0.013804548222485264
43,59671.47454359483,581,49812.840422329675,1.0013243972614756,south,B,9.42024876905026,4,31,0,0.024843578869621217
47,46093.82429641383,593,23157.76044949306,1.5593554412243043,west,B,10.39676232125288,5,32,1,0.9762558377455454
39,56971.68293150788,596,37262.05980308379,14.29875963887077,south,A,8.46556586293872,1,33,0,0.008237605195235751
60,53526.70549706928,551,35963.05168542103,6.204005466896621,south,A,8.387436358630632,5,34,0,0.0
37,52714.04864995656,474,12836.422099975998,0.6301389591048283,east,B,7.279513124815651,1,35,0,0.0
36,49314.296412999734,603,33644.68698618695,4.847328842963462,south,A,10.781450052177792,5,36,0,0.018589365279404146
34,61798.99601990681,737,24264.017414550668,8.40330476392563,north,C,11.09064652393412,5,37,0,0.07537713271735974
39,47016.611946724006,669,25278.601555117002,4.004359076350892,south,A,10.463320888473035,3,38,0,0.057571980666091975
24,28172.03870820525,806,13106.209543432562,2.0076184558890104,north,A,11.930340985457331,3,39,0,0.033042923886715946
40,58534.33409560901,725,38513.27057611859,15.067730423776155,east,A,,3,40,0,0.003985001938738808
44,37864.917126325425,702,36407.34453552151,23.859109746094845,west,B,,3,41,0,0.0
44,30136.072359767903,838,28953.056255097363,4.137047513251,west,A,,5,42,1,0.9276200023056174
32,34666.349987861024,640,12052.363605161965,4.759395910674883,south,B,9.816919961163585,2,43,0,0.0
44,54249.98569035382,656,30058.915341070708,1.4689946377426668,south,C,8.938356343740706,2,44,0,0.0
44,48552.217953577245,648,9506.003996615917,8.772675302557758,north,A,,5,45,1,1.0
44,18009.75455490729,804,20271.74117640154,5.489461056393788,south,A,,5,46,1,1.0
53,44245.16085420996,650,21756.10292567208,0.8267650530432241,north,A,8.668244577759127,3,47,0,0.03682867097632311
32,67538.46837462147,585,44754.142664329,4.935530183885462,east,B,10.868019646900214,2,48,0,0.05913332190348994
39,43230.56493599932,708,23700.293394997334,2.409941338761093,west,A,10.50370883059001,5,49,0,0.0036128775763239885
28,47517.85169858611,568,31931.144088160865,2.0298542117990435,north,B,7.190416904779346,5,50,0,0.0
51,65644.87155990729,703,44365.054455679274,4.802263760663736,east,B,12.245356509127477,2,51,0,0.0
33,61932.33887306804,691,24159.174744003332,1.2374150515028493,east,A,9.811610849298333,3,52,0,0.0
56,65326.26631477567,631,44766.65840318294,12.366928819888567,south,A,7.778137809568559,3,53,0,0.03289299958780484
56,8411.695849194453,706,11140.759063698788,1.578788117828854,east,C,12.377568228707748,5,54,0,0.0
40,76002.84557663166,501,21417.942072198195,8.891831373820688,east,B,11.251351143192307,4,55,0,0.0
40,59546.006531418934,666,9262.726207990905,0.5664922268371227,south,A,7.470916016104171,3,56,0,0.034681111483554176
29,86922.14621036225,603,30241.833317657813,8.344784201394152,west,A,,5,57,0,0.0
43,38265.10953838575,850,48077.69271835111,3.3034474096266404,east,A,11.317594736732385,4,58,0,0.048198829291112494
53,23548.240915266346,665,34562.832589456935,1.295266318593274,south,A,9.979607768749908,3,59,0,0.0
46,50108.27685087764,590,33173.40278069369,19.84332429575229,east,C,13.180437611243558,5,60,0,0.015327548396941263
63,45869.41505364259,512,17517.138450941224,2.9266827621130647,east,A,10.318595567659282,3,61,0,0.0
38,59804.95975422232,780,46899.804138040476,2.4241709556127655,north,B,9.943833849791936,3,62,0,0.041367089821198966
38,66123.92516879534,614,26219.065314906256,7.440662575896238,north,A,8.679399767956022,2,63,0,0.0
33,48690.58782680755,570,17015.09238706186,5.901595929605429,south,B,11.163700878614158,2,64,0,0.0
65,46389.37931280911,683,49446.49911948534,5.45134756318374,north,A,10.95320593464796,2,65,0,0.03750221929305684
29,57840.79729274191,714,24040.577020763256,12.456322144228986,south,B,10.029360279779423,1,66,0,0.0
52,46155.07001461253,713,21717.454208429488,6.631630023983652,south,A,8.420027292264795,4,67,0,0.0
53,44900.268486548186,651,6573.257028447549,3.146794857972033,west,B,10.259859708332147,3,68,0,0.0
52,65557.02408012928,665,13023.273791510715,4.874640654974848,north,A,9.860402428475725,5,69,0,0.045640518991361845
34,68896.66785355359,673,41413.61097825262,1.209043618569212,east,A,7.333051362531598,4,70,0,0.014960810520501956
30,66259.49365794641,683,26721.27970709676,7.137626397925649,east,A,7.056375297351629,1,71,0,0.012033204402852177
40,47476.55430911712,692,47969.36271163371,4.048391014744953,south,A,11.13030675761954,4,72,0,0.0
49,17903.165183702255,759,8774.861145061159,2.86496124053454,west,A,4.796223369896622,1,73,1,1.0
36,47776.90870410728,655,32717.45490792943,8.24248572368248,south,A,10.41082105392252,1,74,0,0.0
39,38630.29980984427,568,37399.28663944919,18.977071156224845,south,A,9.04383388449235,4,75,0,0.0
36,48054.12471484118,635,32953.24069090716,7.083460607604644,north,A,12.61649321375982,1,76,0,0.0
43,39933.636609235866,725,28844.4902056635,2.090533449042911,south,A,,3,77,0,0.0
43,49688.90216801597,471,31023.42441524199,3.056326973332933,north,B,11.318968428503792,5,78,0,0.05322366300336551
65,34410.86556152653,471,36029.73161193891,11.849290198852469,west,A,9.206172317524416,2,79,0,0.011334749458159009
50,30789.238449224318,741,43846.85946368881,2.3289976832466013,north,A,10.227496306972286,4,80,0,0.0
31,68340.37223856337,802,20135.50899281086,5.996188805684056,west,B,11.473673061840103,2,81,0,0.0054573159050594336
31,35455.1357994852,523,25684.433619875046,3.4192358951494533,north,A,9.07488856735084,1,82,0,0.005180698606710856
52,50004.974378845305,660,33615.931397772685,0.6616061369471595,south,A,11.993109768996808,1,83,1,1.0
42,64317.72269904253,610,19139.717854690138,3.475893585355181,north,C,8.012604245787033,1,84,0,0.00886672151299116
65,63714.56189344359,623,13045.228967601292,1.8546411854033389,south,B,10.589185685116759,1,85,0,0.0
65,61922.72307373027,680,48477.59405501599,3.654833180476053,east,A,11.845279445575706,1,86,0,0.00532691800151054
33,54542.99771752303,520,13762.799995830677,9.113000107204524,south,A,,5,87,0,0.0
46,60860.049628052744,539,15472.989293101284,4.584723191487599,east,B,13.83288975347082,5,88,0,0.028781180420198928
31,70596.3219890923,619,32840.87452171666,2.3282978767329245,west,B,8.47312136537868,2,89,0,0.0
52,56375.3389099306,635,8481.573946467626,0.23887490022575955,north,A,7.241701497302824,4,90,0,0.058879891507945814
65,22441.964797787245,537,6532.144421684296,8.348983559865959,south,A,8.011329783009762,2,91,0,0.0
44,42072.00190774855,728,7880.612171240687,11.22271131699424,east,B,11.320885133096874,4,92,0,0.08372124712633572
38,60445.55107583132,608,10546.864060359574,0.5664121809157452,east,B,10.995845868538757,2,93,0,0.0
47,40593.56099435894,607,24313.85879603842,6.878231408957655,north,A,,4,94,0,0.0
55,74301.59209187966,678,42316.72895590211,2.3150387813160345,north,A,7.75408590178574,2,95,0,0.014952851897050048
55,49052.30257750353,637,20388.735189298728,0.7700915259348731,south,A,11.533734586658122,5,96,0,0.03093574922122901
38,51278.731570391545,733,24238.913659133887,0.07750363638176613,east,A,7.550590444698919,5,97,0,0.0
36,66871.16298352604,556,32011.299177614015,11.800785575735704,west,A,,2,98,0,0.04463030261289359
45,47257.25154036061,510,18596.499153069257,0.16824780749979013,south,A,15.71487684627973,1,99,0,0.0
39,52644.15553592279,619,24464.20454455912,2.0181097740376566,east,A,10.7329022931431,2,100,1,0.9800154026608979
60,63486.852259986685,656,22384.025908896234,18.480881523167856,south,A,11.166216271315486,2,101,1,0.9848961028758815
39,27915.940762494705,525,20384.759374250894,0.3856831834642581,north,B,,3,102,0,0.0
43,45720.527564186756,511,22477.69262669169,0.31005135349094515,south,B,6.379573357826367,3,103,0,0.0
47,62437.2994306868,668,5500.29696854285,1.4145029761780867,south,B,8.794561273939555,5,104,1,0.9987666466745753
30,50984.00222513891,574,44881.73006547131,19.329090496060775,north,C,7.814209517802501,1,105,0,0.0
36,72010.0071811622,504,48980.605885191086,7.077447854506687,east,C,7.105990847169968,3,106,0,0.0539091381855169
65,26361.149627196224,746,43812.328613726226,4.593400582824535,south,A,,1,107,0,0.0
54,24649.973480808003,586,5258.4023324408745,12.91055038094924,north,A,10.545725036051547,3,108,0,0.0
38,61545.29774934077,764,38789.849601257985,1.5685304343520523,south,B,,4,109,0,0.06017456127617726
52,62987.10822399162,652,30789.50776640211,6.659647451729492,west,A,9.3819552696075,5,110,1,1.0
60,47101.2498975225,679,9237.870995348765,3.426872678869962,east,A,,3,111,0,0.027468984307818602
40,56005.916000685866,628,46978.66106958189,1.5293226952200574,south,C,11.929101364478667,1,112,0,0.02267168116697657
53,61178.1046644711,384,39929.77081501866,4.780182735376432,west,A,9.935325762609569,5,113,0,0.022893582371727703
51,37792.051912223804,536,11538.332890164216,8.875505493756009,north,C,11.061387876049466,3,114,0,0.0910524997423841
31,39397.27437426051,637,48381.86433620732,4.093910561716513,south,A,9.607991404309969,3,115,0,0.004577032899015866
40,52845.89268797955,686,10678.943876478803,2.5990013394019273,east,A,9.315694218535906,4,116,1,0.949432836157863
65,63561.3343984058,471,25460.594532917756,0.6267171056067316,south,B,,2,117,0,0.03193987431139457
65,32510.64610463023,644,12153.907969662785,5.347401790317459,east,B,,5,118,0,0.0
54,47030.78552097471,537,11758.5857776057,2.134396091017986,east,A,9.476876197867197,1,119,0,0.0
36,46336.45052443342,673,48551.258226857455,2.6285783502588553,south,A,10.112993383986465,1,120,0,0.018509050087785944
25,56269.38657564146,648,30745.525162655307,2.657494066335425,west,A,7.427739926582419,5,121,0,0.0
35,49869.52444986749,724,16662.871296185112,3.839893983171595,west,A,9.931050269930735,3,122,0,0.0
31,41811.74624295711,756,39937.971688994,3.4138082584926153,south,A,10.107505125981005,5,123,0,0.02379242855352058
65,68728.48671136108,695,44385.997968612835,11.543476458392648,west,A,5.687983987881242,5,124,0,0.0
27,41911.1377756877,736,46292.177155450045,4.580529022067203,east,A,8.169750681040998,5,125,0,0.048669265799517865
32,45618.554554678194,614,46984.32369350924,7.0774680616463375,north,A,10.814527787470936,4,126,0,0.0
45,26127.535461205647,850,45751.182338988285,5.1270175493219465,north,A,10.774117458791487,4,127,0,0.0
42,39295.61184731157,528,33751.95781669568,0.2107269840619671,north,A,7.692650167200479,4,128,0,0.09530279328776611
65,57741.14114508575,597,20410.99924131757,1.8704909154963951,north,A,10.31689610099947,4,129,0,0.0
50,54809.029345322895,740,46650.545484749695,1.1336009261851867,south,A,12.044814450720944,2,130,0,0.0
41,58992.75485098643,725,10512.343760017371,4.838609901884118,north,C,11.554145917981796,5,131,0,0.09257419237814501
61,58264.73428918506,698,12595.99167728679,16.95485505234376,east,C,9.809428425972131,1,132,1,0.9985704276050363
38,81315.7105444273,717,24522.23932230622,0.8532461130239882,south,B,,3,133,0,0.06733853345319994
65,38782.11758829635,441,17764.922399593175,3.2113334647733405,east,A,8.74131103133099,2,134,0,0.03262374322025074
34,25708.643848478172,808,32707.976640074212,4.653162408371213,east,B,10.935639565819315,4,135,0,0.0
23,34241.70505892714,629,45738.586533408044,2.375020292208299,south,A,10.390207946285775,2,136,0,0.0
42,39445.22246252613,774,27096.409686760144,5.732210007315629,east,A,11.258808012204401,2,137,1,0.8940341292928629
26,35385.095950746334,446,29924.176703833953,2.6887149305413685,west,B,,5,138,0,0.0
55,51404.91271467281,675,24041.01780414916,3.2981343844393263,south,A,,3,139,0,0.011610925291559705
44,68789.82358335532,593,36840.61219891724,8.783224451715734,south,C,,4,140,0,0.011583145484628757
65,73094.88609454872,707,9530.995093079622,4.040071045164041,east,B,11.569377432263373,5,141,0,0.1232929378576948
40,57564.627527699064,681,7186.54486669527,7.415475195256866,west,A,,5,142,0,0.014047903307475275
30,82119.08323181023,686,33860.23134949233,4.577777686965147,east,A,8.390946739550373,2,143,1,1.0
48,44654.40415150371,544,29069.534531936835,1.4935663728872195,west,B,6.383711906258508,1,144,0,0.05824815837049505
37,25512.214369963604,644,23331.111305871997,2.4882006456848584,north,A,13.086985712029106,5,145,0,0.02702506557638958
53,65797.67101832254,631,20029.66888456274,5.280131537244899,north,A,10.513317461424524,2,146,0,0.0
34,22421.08412376406,699,7331.334981940649,3.2463097744459195,south,A,6.571028209007757,4,147,0,0.0
63,38674.95465950294,748,35625.0273086299,0.44975323635358233,north,C,,4,148,0,0.0
43,57801.68348634194,665,23966.039111932278,5.523346299183862,north,A,11.543748584739657,3,149,0,0.022210551456829
41,48464.27779926829,522,25037.06177838275,6.729500969584642,north,C,,1,150,0,0.0
62,47135.70855692741,660,45205.01831353513,1.403109285137355,south,A,,3,151,1,1.0
56,32288.14950769991,850,38189.65471355655,13.935549744956878,west,A,,1,152,1,0.949545634483515
35,49837.96415849995,814,14874.941691198119,3.9932933308942076,west,A,7.905425707232379,2,153,0,0.007342422920432197
55,65054.937331066874,352,34572.49234348022,0.6781199137545905,south,B,,2,154,0,0.07760336607036845
51,50299.51874804028,656,10951.489332664596,1.3596664491532935,west,A,10.422772950096535,3,155,0,0.0
41,37546.61180538409,743,13732.87405334644,4.351621206167732,west,A,10.780909864107764,1,156,0,0.09215008134833887
54,31286.923091040044,631,37136.715832959555,0.725563704233375,south,A,10.992686068681463,5,157,0,0.008183572366446432
63,37856.08125566632,603,10665.06882124539,3.488275106068391,south,B,,1,158,0,0.0
42,55885.00628621538,623,17608.727811694007,12.45847032111594,west,A,,5,159,0,0.005830925115193315
42,55154.03393539565,705,45412.71205925927,17.832496885635337,south,A,10.978767877876818,2,160,0,0.0
41,37992.39349106497,535,38224.19652266956,10.784029138095882,south,A,,3,161,0,0.0
35,16838.608670269132,768,46825.67829384589,3.356778704770683,west,A,10.125396606473428,5,162,1,1.0
42,56300.19145508247,644,44682.50038825416,10.14916006183174,east,B,10.215068360107269,4,163,0,0.10963565819735568
40,36534.389015371235,556,19066.073988889064,7.043851155545595,south,A,10.430196271638073,1,164,0,0.024021463501633464
40,60335.93718522925,762,33456.984551646645,8.378508021229713,west,C,,4,165,0,0.027066048067822975
40,38658.35536808375,495,22041.3055154798,6.171845966390137,east,B,11.110291363889662,3,166,0,0.0
32,35181.49319495287,594,36369.69492317493,1.4024259716285103,south,A,,5,167,1,1.0
57,52297.57860889377,592,20680.565974291083,7.118777691334341,south,B,8.38174803011792,3,168,1,0.9980364190770112
36,85365.48845039553,850,5059.281734602664,6.189751173166116,north,A,,5,169,0,0.013361004909844832
65,61235.4498667486,581,9227.219682730345,8.023603549142663,north,A,9.943964430208512,3,170,1,0.9217391766267888
33,52043.28948808778,434,39695.55468002483,0.8938245659299304,west,A,10.386363159626397,1,171,0,0.0
65,55382.77304571452,591,8780.236014751747,3.2928975495054855,north,C,,3,172,0,0.018367657409061888
39,23733.26207771604,695,31974.020745810907,0.9035739098772042,west,A,,5,173,0,0.045360586729199556
55,33164.89443871165,728,43600.03305616366,0.52882334333108,north,B,10.844578038250718,1,174,1,1.0
44,12336.067024292912,850,38349.55565789507,0.30667316405739636,east,A,,2,175,0,0.0
31,75948.10841864934,790,23604.745766879332,12.195401533806017,east,A,,1,176,0,0.0
31,72910.79043733623,668,14387.189688191884,5.420773430655073,west,C,14.67569023834433,5,177,0,0.029206855052760685
36,55892.27789322365,560,46514.186948382245,5.382280522896144,south,A,9.243921416537047,3,178,1,0.9626595805997584
38,52026.726546263075,812,30487.985680327693,30.0,west,A,,4,179,1,1.0
42,26726.149962536296,613,23243.90266701751,1.2879467506524398,south,B,8.402388510214037,5,180,0,0.0
47,46710.50059623963,584,47392.596456047526,3.858055282254159,west,A,9.296950529713413,5,181,1,0.9950795028133276
41,76885.87817605838,608,14675.79847423599,4.717750850952387,north,B,10.497867820793315,3,182,1,0.9982881591378442
46,51971.23997293571,524,24902.684260412967,8.47012447239353,south,C,,5,183,0,0.024023354850162253
48,41530.30300682156,603,9889.056912357786,2.8851299171587925,east,A,10.638189668047149,3,184,0,0.0
40,23628.9400999458,626,10619.611740479218,4.800695585899563,east,A,12.518229698669472,5,185,0,0.0
51,70704.58591596207,723,22936.83151985758,2.590329686484836,west,C,,5,186,0,0.00856363807728408
55,48948.74298458516,611,36484.71601932946,13.079360893702402,south,C,,2,187,0,0.026321513627273918
49,23648.992199557564,523,20250.227486938253,5.323893261052585,east,A,15.407970214558773,4,188,0,0.05037274813165189
49,36136.01476892687,489,36031.9087671351,14.756471625639403,east,A,10.788475298884062,4,189,0,0.0
45,30836.929739628045,670,41233.57111635766,5.888876287152108,west,A,8.561036908042905,4,190,0,0.03878408205077236
59,48023.84711432042,657,44491.00615940014,9.454841333515281,north,A,8.611472475503863,1,191,1,1.0
42,53110.08454419228,594,7012.377682418161,7.336048827852991,north,A,8.114640170937319,3,192,0,0.06612025388571681
36,42451.74403582213,603,39817.92447378912,1.2324843586551337,east,A,11.873138711713576,1,193,0,0.0
43,61655.69894730322,688,11621.395500080816,1.7171409623348453,north,A,9.271245414213517,5,194,1,0.913505034860296
31,51182.033607086625,789,36421.803198470036,2.282549830183191,north,A,10.254724951312971,5,195,0,0.0
30,65934.68577908195,571,21724.810952000076,5.5551729519835735,east,B,9.872982651123463,3,196,0,0.004422537423135585
55,44642.088828789216,658,36850.69839626878,11.393651243207596,south,A,11.46298481588187,1,197,0,0.02590971211992471
65,95679.88388016718,745,14622.09100285986,6.078259185030059,south,A,8.30651181423196,4,198,1,0.9233658816829692
39,41532.669147890636,572,34024.582350544784,3.7016828957757437,south,A,,3,199,0,0.0
55,36450.050123661924,648,10648.133917787325,1.274664133870926,east,A,,4,200,0,0.043405178578230744
28,34605.49174856364,646,12638.549644556311,3.8043787573835655,south,C,11.201918569399794,1,201,0,0.0
27,46835.88910168542,518,32650.786632405187,16.451495164212318,west,A,10.665064626195282,3,202,1,0.9847132808933957
59,24206.958637013246,666,20154.71712426623,6.18370419507146,north,A,,2,203,0,0.095316319889175
49,54418.44265741716,653,36670.01329012138,2.1322457009334443,north,C,,5,204,0,0.0
42,21420.443456527897,705,35832.17459312093,7.852788199148387,north,A,8.512278145808732,2,205,0,0.061657735499215716
65,52425.06386085847,531,32973.52956147853,0.7970244167807421,west,A,8.956922710427234,5,206,0,0.051062486793709505
41,29731.223838554703,650,37874.3243555443,6.90991742720187,south,B,,5,207,0,0.0
33,44280.598889298606,788,40727.085829864875,1.2941491692664477,north,B,,3,208,0,0.0
29,59068.10598698539,850,46014.04771123208,0.06763753257354643,south,A,11.266843082054699,1,209,0,0.0
43,84560.5652581453,778,8623.212326679208,4.4805457791073735,east,B,11.209986751357746,2,210,0,0.009097387817176847
45,33829.992188282646,532,30719.70566503024,8.146170661011432,south,A,12.494422842284902,1,211,0,0.0
40,47745.23825860412,695,38694.957512918045,8.298762730592253,south,A,15.625298496477447,4,212,0,0.0
55,39143.619878366866,601,14762.36555014448,10.890765034903355,north,A,6.581547792179689,4,213,0,0.0
63,36951.94516158807,678,16862.951433962568,4.025379987291274,east,B,8.523246838245784,2,214,1,0.9838351149700558
39,39275.40005045683,572,17013.395495093937,3.043586671839824,north,A,8.767649831650953,4,215,0,0.0
28,62360.99713455408,478,30754.98371635332,6.627391587353683,north,B,8.298360755234615,3,216,0,0.0
46,42679.16203654431,615,21477.67558095469,11.408573973229192,east,C,7.844833504792575,5,217,0,0.004882454396472582
59,83739.69047406282,722,34974.26330547196,1.1801264919350944,west,B,9.400693871889269,1,218,0,0.0
39,56239.68883842101,678,32460.785688557135,9.146820778758435,east,B,7.566792569421191,1,219,1,0.9066594456692649
49,34849.84008238887,690,34570.03248963719,14.283187294869897,west,A,10.670084735074827,5,220,0,0.0
32,44499.422267823844,671,16354.292756415187,9.923198348750972,south,A,10.103396642857229,2,221,0,0.0
46,37972.29514940016,690,39531.71191203486,2.652621068814523,east,A,10.96205732952731,5,222,0,0.06376222635412358
50,62001.02979420071,702,34881.59978459123,8.843849903862575,south,A,11.015456903276505,5,223,0,0.0
46,25418.305151521206,622,10879.232568415291,2.8052070413933556,east,B,11.206013706853353,1,224,1,1.0
65,29885.729293462846,658,14007.778358407986,2.172075058580649,west,B,9.253182126352236,3,225,0,0.06914060016928585
65,41126.808218762875,824,18543.43158379093,18.846377399446887,east,A,,4,226,1,0.9685965645489204
52,60244.20189707488,664,47121.8678527429,5.171128872637044,north,A,,1,227,0,0.0
57,68495.90412234158,654,19685.743862190502,10.364590091245471,east,B,6.2750304947504105,5,228,0,0.08643458874548508
46,70708.13286159265,660,5894.558719939366,4.103280388719807,south,A,7.995248508467565,1,229,0,0.01144880775746232
42,57947.02279921295,628,11373.158194648246,3.603038934643229,east,A,6.518994021944369,1,230,0,0.018687492103446356
38,48756.656954629696,606,6447.732064286578,6.615154148764537,east,A,10.034669258302614,3,231,0,0.0
32,61919.38718470989,670,23127.765986444745,9.319438601635788,east,A,,2,232,0,0.03435254152161201
65,32832.49073852434,599,40871.90304363668,6.554761483440285,west,B,9.063148604201084,4,233,1,0.9980178693157208
65,22330.141669756602,635,25269.61012650515,4.179017266001507,west,A,14.021852224801028,2,234,0,0.0
43,56549.56366529733,570,42754.7360656916,3.0445255384437875,west,A,,2,235,1,0.9822383733008592
43,34914.82374276725,660,7138.819461233183,2.5950882649054665,east,A,11.452196722892669,5,236,1,0.9408410604890108
50,49020.39901751779,708,26137.528886514378,0.3784381649447339,south,A,,1,237,0,0.005612048213627249
41,51794.405238092215,628,40418.39174582394,6.907371478917944,north,A,8.001710217337976,3,238,0,0.0
33,53721.79338767445,449,35362.49979442777,5.674160119631198,west,A,,1,239,0,0.023906423284623994
31,64066.87307787578,709,43377.14917132101,1.8102989258285653,west,B,10.346014279304452,1,240,0,0.0022381710466898136
65,62481.12782437597,662,17322.56257593088,4.2248732694543865,north,B,6.287376865771086,2,241,1,0.9375995498210568
28,52925.001007515355,550,27538.28583296219,7.9572510822643014,north,A,,2,242,0,0.0
47,43369.770792958916,727,35459.53602540026,3.071479744270917,east,A,,3,243,0,0.03102813508155421
29,51616.43133014481,510,12582.048027145442,17.094863242448053,north,B,,3,244,0,0.05739965179069831
41,41056.84374987618,754,41711.302160466665,1.1133387537586872,north,A,8.373219175306648,1,245,0,0.0
39,47053.56616990743,644,19016.152285593773,2.045686596712959,west,A,8.92092963615772,1,246,1,0.9451279752529477
30,89272.60135370621,423,9198.828676206263,9.106042926131764,north,A,9.646281612854407,1,247,0,0.0975492470150527
51,52732.84551325311,667,39456.55808068823,8.879229400844954,north,A,10.181600047220096,4,248,0,0.0
32,56753.67525556323,609,36725.80908793911,5.908914673099238,west,C,11.209583165101137,5,249,0,0.004573446766098658
29,39417.79026454457,594,44765.58889779976,4.951427474503174,north,A,12.161712409901742,1,250,0,0.0
53,65301.101246448015,576,45143.36354467058,1.31074308277483,west,C,9.4113045529455,1,251,0,0.01076101142701934
39,61404.08633995136,637,17533.66030617099,1.5917407882896524,east,B,9.087687607769285,4,252,1,1.0
35,61510.28831982627,601,33861.3248848019,4.06963711882371,east,C,10.875311347068612,4,253,0,0.012718263442846637
54,53223.36870130195,464,49960.53482773964,1.9291321032741116,west,B,11.221689832821708,4,254,0,0.05324816245696721
32,65512.85143650156,777,15971.294680748244,0.6055910146227911,north,B,9.13159913348223,1,255,0,0.0014491928268163077
28,69075.277949521,625,26279.450085137814,7.257272721324261,north,A,,5,256,0,0.0
61,54246.48379023943,576,45957.48640882288,20.577577763450467,north,B,,4,257,1,0.9658381665353504
65,48280.81461499516,537,9638.583868696835,3.3033198593026976,south,A,12.583372931317346,1,258,0,0.0
41,63418.564851721414,727,46771.24539002877,3.132708939136796,west,B,13.556641813439645,1,259,0,0.010889329179334259
23,36438.12040160385,520,26967.001755279933,4.12288385050543,north,A,8.267167722681123,4,260,0,0.061194439682500046
41,39230.5957907701,663,45186.83548574008,1.2001135681375623,south,A,10.027796418665023,4,261,0,0.00805054710754118
55,49200.49485672648,591,32961.71348720961,4.780794819891012,south,A,10.02255539323732,4,262,1,0.9846109090684866
59,23879.643973427817,597,35214.599616038526,6.118846160663596,north,A,9.803852862934985,3,263,0,0.0
33,62413.929103451366,539,39784.35881425969,1.1948713476862802,south,A,8.701474160779728,3,264,0,0.01777229314225871
39,35556.29168801265,587,8021.124139287562,3.719255561291735,north,A,7.0288759935378575,4,265,1,0.9380933973603188
46,42927.634677473645,650,33249.57525678378,10.01968878043474,north,A,,1,266,0,0.0
54,46800.80606480344,673,46577.176014733646,1.2364531296712413,east,A,8.463288680904174,2,267,0,0.045008163382029155
52,50589.30232355825,571,48025.56757819806,6.874236879771724,west,A,10.17198696149525,1,268,0,0.0
49,44845.20085365437,640,48574.46498015087,4.5334319116437864,south,A,8.411912916602294,5,269,0,0.0
59,48989.43429154477,738,34062.47956705716,0.7476268720039152,east,A,7.800683308311317,4,270,0,0.0
